indv	ef	lf	sex	pupation	pday	emergence	eday	adultsurvival	censor	eggs1	eggs2	eggs3	eggs4	eggs5	eggs6	wl	delta.1	delta46	size.day4
57	H	L	female	yes	9	yes	11	43	1	0	34	0	42	NA	NA	NA	1.5854	2.469	2.7269
58	H	L	female	yes	7	yes	10	32	1	0	0	0	NA	NA	NA	2.475076396	3.5217	1.7556	4.3557
59	H	L	female	yes	9	yes	11	23	1	40	0	NA	NA	NA	NA	2.532083143	1.6469	2.1533	2.5759
60	H	L	female	yes	7	yes	9	4	1	NA	NA	NA	NA	NA	NA	NA	1.7542	3.6018	2.5119
61	H	H	male	yes	7	yes	10	20	1	NA	NA	NA	NA	NA	NA	NA	2.5109	1.8931	3.4222
62	H	H	female	yes	8	yes	10	35	1	69	48	0	0	NA	NA	2.513172136	2.0986	3.1615	3.029
63	H	H	female	yes	7	yes	9	33	1	0	0	0	6	NA	NA	2.63000061	2.6732	2.1756	3.7179
64	H	H	male	yes	7	yes	9	32	1	NA	NA	NA	NA	NA	NA	NA	2.0055	2.1777	2.6756
65	L	L	male	yes	8	yes	10	14	1	NA	NA	NA	NA	NA	NA	NA	2.0112	2.0865	2.8717
66	L	L	male	yes	9	yes	11	25	1	NA	NA	NA	NA	NA	NA	NA	1.7851	1.9399	2.2766
67	L	L	male	yes	9	yes	11	46	1	NA	NA	NA	NA	NA	NA	NA	1.5552	1.8301	2.1527
68	L	L	female	yes	10	yes	12	26	1	33	13	0	NA	NA	NA	2.25849547	1.6144	1.351	2.5123
69	L	H	NA	no	NA	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.8673	1.3325	1.8182
70	L	H	NA	yes	8	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.3592	2.611	2.3641
71	L	H	male	yes	8	yes	10	17	1	NA	NA	NA	NA	NA	NA	NA	0.7546	2.4327	1.7502
72	L	H	female	yes	9	yes	11	19	1	26	0	NA	NA	NA	NA	2.793764815	1.0784	2.4558	2.0269
73	H	L	female	yes	8	yes	10	25	1	0	0	37	NA	NA	NA	NA	1.8293	2.2483	2.8299
74	H	L	NA	no	NA	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.9436	1.7498	1.9677
75	H	L	female	yes	8	yes	10	59	0	28	32	0	0	0	0	2.548959557	3.4317	0.882	3.9816
76	H	L	female	yes	8	yes	10	57	1	31	25	4	21	23	21	2.083953773	1.5274	2.9325	2.5192
77	H	H	male	yes	8	yes	10	20	1	NA	NA	NA	NA	NA	NA	NA	2.7703	0.2073	3.7859
78	H	H	female	yes	8	yes	10	28	1	0	0	0	NA	NA	NA	2.284074944	2.5769	2.0171	3.3161
79	H	H	female	yes	7	yes	10	26	1	0	40	0	NA	NA	NA	2.511972797	2.6407	1.749	3.5379
80	H	H	male	yes	7	yes	9	18	1	NA	NA	NA	NA	NA	NA	NA	3.1902	0.6851	3.8541
81	L	L	male	yes	9	yes	11	50	1	NA	NA	NA	NA	NA	NA	NA	1.1956	1.4606	2.2675
82	L	L	male	yes	8	yes	10	23	1	NA	NA	NA	NA	NA	NA	NA	1.765	2.8641	2.3839
83	L	L	male	yes	8	yes	10	28	1	NA	NA	NA	NA	NA	NA	NA	1.4101	1.6827	2.529
84	L	L	male	yes	9	yes	11	16	1	NA	NA	NA	NA	NA	NA	NA	1.5505	1.1296	2.5943
85	L	H	male	yes	9	yes	11	27	1	NA	NA	NA	NA	NA	NA	NA	1.238	2.582	2.4141
86	L	H	female	yes	9	yes	11	58	0	30	0	0	0	0	0	2.581156424	2.0847	1.0374	2.7703
87	L	H	female	yes	8	yes	11	58	0	48	33	0	27	30	0	2.381057876	1.7802	2.9631	2.3799
88	L	H	female	yes	9	yes	13	28	1	0	0	0	NA	NA	NA	2.706260726	1.5072	1.2567	2.3497
89	H	L	NA	yes	8	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.9989	2.4183	3.055
90	H	L	female	yes	8	yes	10	27	1	0	36	0	NA	NA	NA	2.44068729	NA	NA	NA
91	H	L	male	yes	8	yes	10	14	1	NA	NA	NA	NA	NA	NA	NA	2.5714	2.5131	3.106
92	H	L	female	yes	8	yes	10	25	1	0	19	0	NA	NA	NA	2.156096624	2.5221	2.0789	3.3284
93	H	H	NA	no	NA	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.5797	1.0563	1.7369
94	H	H	male	yes	7	yes	10	23	1	NA	NA	NA	NA	NA	NA	NA	2.2989	2.5675	3.0842
95	H	H	female	yes	7	yes	10	24	1	0	30	36	NA	NA	NA	2.607320252	3.1277	2.4418	3.7818
96	H	H	NA	yes	7	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.5414	2.4931	3.1707
97	L	L	female	yes	9	yes	12	51	1	0	0	0	0	0	NA	2.335363981	1.5023	2.7564	2.4184
98	L	L	male	yes	9	yes	11	27	1	NA	NA	NA	NA	NA	NA	NA	0.9345	2.9092	1.7547
99	L	L	female	yes	10	yes	12	41	1	12	0	0	0	NA	NA	2.150757577	1.296	2.7754	2.3418
100	L	L	male	yes	9	yes	11	30	1	NA	NA	NA	NA	NA	NA	NA	1.7143	2.5852	2.285
101	L	H	male	yes	9	yes	11	34	1	NA	NA	NA	NA	NA	NA	NA	1.0704	2.2159	1.8588
102	L	H	female	yes	9	yes	11	38	1	0	0	0	5	NA	NA	2.327251923	0.7767	2.6908	1.9437
103	L	H	female	yes	9	yes	11	22	1	0	34	NA	NA	NA	NA	2.617969429	1.6148	3.2439	2.6052
104	L	H	female	yes	9	yes	11	58	0	61	23	41	24	0	0	2.661638876	NA	NA	NA
105	H	L	female	yes	9	yes	9	47	1	34	4	0	0	0	NA	NA	1.6683	1.666	2.7411
106	H	L	female	yes	9	yes	11	57	1	30	24	0	21	15	0	NA	2.2091	1.1108	3.1431
107	H	L	female	yes	8	yes	10	23	1	0	0	0	NA	NA	NA	2.28919557	2.02	1.857	2.6486
108	H	L	female	yes	8	yes	10	32	1	0	0	0	NA	NA	NA	2.395203754	2.5911	1.5679	3.7057
109	H	H	male	yes	8	yes	11	22	1	NA	NA	NA	NA	NA	NA	NA	2.7538	1.7233	3.5905
110	H	H	female	yes	8	yes	10	15	1	0	28	NA	NA	NA	NA	2.915357635	2.4812	1.9908	3.1668
111	H	H	female	yes	8	yes	10	33	1	44	45	41	45	NA	NA	2.700550063	2.0073	2.9846	3.0651
112	H	H	female	yes	7	yes	10	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	L	L	male	yes	10	yes	13	8	1	NA	NA	NA	NA	NA	NA	NA	0.992	1.5073	2.1276
114	L	L	female	yes	9	yes	11	52	1	27	21	23	31	25	0	2.450581229	1.2212	2.5015	2.2834
115	L	L	male	yes	9	yes	11	23	1	NA	NA	NA	NA	NA	NA	NA	0.929	2.0144	1.8164
116	L	L	female	yes	10	yes	12	28	1	35	25	0	NA	NA	NA	2.527024993	1.2599	2.7121	2.1683
117	L	H	NA	yes	9	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.0414	3.3134	1.975
118	L	H	female	yes	9	yes	11	58	0	38	0	0	0	21	0	2.113213982	0.852	2.5068	1.7536
119	L	H	female	yes	9	yes	11	43	1	0	0	0	0	NA	NA	2.347318882	1.1125	3.5045	1.7654
120	L	H	male	yes	9	yes	11	26	1	NA	NA	NA	NA	NA	NA	NA	1.724	1.4701	2.615
121	H	L	male	yes	7	yes	9	21	1	NA	NA	NA	NA	NA	NA	NA	3.0504	1.4466	3.8927
122	H	L	female	yes	9	yes	11	36	1	25	0	0	0	NA	NA	2.068405471	2.5999	NA	3.3999
123	H	L	female	yes	9	yes	11	58	0	0	24	0	34	0	NA	2.501645915	2.2108	1.8197	3.0089
124	H	L	female	yes	7	yes	9	32	1	0	0	0	NA	NA	NA	2.401644661	2.5539	1.9292	3.3088
125	H	H	female	yes	7	yes	9	45	1	42	0	5	0	90	NA	2.476271796	3.3727	0.5147	4.3505
126	H	H	female	yes	7	yes	10	24	1	0	19	0	NA	NA	NA	2.402374591	2.5858	2.3016	3.3727
127	H	H	female	yes	7	yes	9	42	1	0	29	29	0	NA	NA	2.557569098	NA	NA	3.5863
128	H	H	female	yes	8	yes	11	42	1	0	0	0	0	NA	NA	2.478107589	2.296	2.6283	2.8569
129	L	L	female	yes	9	yes	11	45	1	25	13	0	0	0	NA	2.525475328	NA	NA	NA
130	L	L	female	yes	9	yes	11	50	1	24	27	21	24	0	NA	2.308050315	1.3205	2.2799	2.5544
131	L	L	female	yes	10	yes	12	47	1	0	22	0	23	20	NA	2.230391426	1.2433	1.9969	2.6131
132	L	L	male	yes	9	yes	11	19	1	NA	NA	NA	NA	NA	NA	NA	1.6804	1.5008	2.5498
133	L	H	male	yes	8	yes	10	31	1	NA	NA	NA	NA	NA	NA	NA	1.9533	1.9284	2.7639
134	L	H	female	yes	9	yes	11	12	1	0	NA	NA	NA	NA	NA	2.506768523	1.3727	1.4884	2.1916
135	L	H	female	yes	9	yes	11	56	1	0	0	0	42	6	0	2.611800096	1.502	2.1234	2.2799
136	L	H	male	yes	9	yes	11	25	1	NA	NA	NA	NA	NA	NA	NA	1.7327	1.8093	2.4546
137	H	L	female	yes	8	yes	10	14	1	0	0	NA	NA	NA	NA	NA	1.9197	2.1508	3.2912
138	H	L	male	yes	8	yes	10	27	1	NA	NA	NA	NA	NA	NA	NA	1.845	2.8286	2.7666
139	H	L	male	yes	7	yes	9	60	0	NA	NA	NA	NA	NA	NA	NA	1.8427	2.5528	2.6318
140	H	L	male	yes	8	yes	10	17	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
141	H	H	male	yes	7	yes	9	29	1	NA	NA	NA	NA	NA	NA	NA	1.8138	1.9559	3.0639
142	H	H	female	yes	8	yes	10	12	1	0	0	NA	NA	NA	NA	2.557312097	2.4978	1.1201	3.645
143	H	H	female	yes	8	yes	11	36	1	32	0	0	0	NA	NA	2.519523738	2.503	1.3114	3.1745
144	H	H	male	yes	7	yes	10	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.629
145	L	L	female	yes	9	yes	11	36	1	44	0	22	0	NA	NA	2.493523781	2.4994	2.3134	3.0251
146	L	L	male	yes	9	yes	11	37	1	NA	NA	NA	NA	NA	NA	NA	1.021	1.4868	2.0158
147	L	L	female	yes	10	yes	11	16	1	0	0	0	NA	NA	NA	2.343812421	1.6182	2.1353	2.511
148	L	L	male	yes	9	yes	11	30	1	NA	NA	NA	NA	NA	NA	NA	1.8603	1.7735	2.7087
149	L	H	male	yes	9	yes	11	27	1	NA	NA	NA	NA	NA	NA	NA	1.9546	1.7895	2.7639
150	L	H	female	yes	9	yes	11	48	1	48	45	43	6	20	NA	2.629636524	0.9974	3.2803	1.7981
151	L	H	male	yes	9	yes	11	30	1	NA	NA	NA	NA	NA	NA	NA	0.6802	2.1211	1.6903
