indv	ef	lf	sex	pupation	pday	emergence	eday	adultsurvival	censor	eggs1	eggs2	eggs3	eggs4	eggs5	eggs6	wl	delta.1	delta46	size.day4
242	H	L	male	yes	7	yes	9	21	1	NA	NA	NA	NA	NA	NA	NA	3.75	-0.6743	4.6429
243	L	H	male	yes	8	yes	10	23	1	NA	NA	NA	NA	NA	NA	NA	2.4215	1.4822	3.3727
244	H	H	male	yes	8	yes	10	20	1	NA	NA	NA	NA	NA	NA	NA	2.1287	1.0817	3.468
245	L	H	male	yes	8	yes	11	34	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
246	H	H	female	yes	8	yes	10	50	1	0	40	36	27	0	NA	2.553542745	2.6394	NA	3.2858
247	H	L	NA	yes	7	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	4.3065	-0.1024	5.15
248	H	H	male	yes	8	yes	10	26	1	NA	NA	NA	NA	NA	NA	NA	1.6561	2.4576	2.4548
249	H	L	female	yes	8	yes	10	42	1	0	20	28	0	NA	NA	2.327251923	2.9435	1.4492	3.7138
250	H	H	male	yes	8	yes	10	37	1	NA	NA	NA	NA	NA	NA	NA	3.2115	0.5669	4.2385
251	H	L	male	yes	7	yes	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
252	H	L	male	yes	7	yes	9	42	1	NA	NA	NA	NA	NA	NA	NA	3.6909	-1.0722	4.771
253	H	H	male	yes	7	yes	10	53	1	NA	NA	NA	NA	NA	NA	NA	3.1426	0.7905	4.1002
254	H	H	male	yes	7	yes	9	42	1	NA	NA	NA	NA	NA	NA	NA	3.3711	1.7649	4.1231
255	H	H	female	yes	8	yes	10	59	0	0	37	0	32	0	0	2.639272723	2.9418	NA	3.7345
256	H	H	male	yes	7	yes	9	24	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6404
257	L	L	NA	yes	11	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.7396	NA	2.6671
258	L	L	male	yes	10	yes	11	12	1	NA	NA	NA	NA	NA	NA	NA	3.2199	0.3173	3.9743
259	L	L	male	yes	10	yes	12	25	1	NA	NA	NA	NA	NA	NA	NA	2.0629	1.316	2.9494
260	L	L	female	yes	10	yes	12	57	0	40	0	0	0	18	0	2.491683922	2.6689	0.5938	3.711
261	L	H	female	yes	9	yes	11	27	1	0	0	0	NA	NA	NA	2.560358956	2.0452	2.6965	3.1085
262	L	H	male	yes	8	yes	10	23	1	NA	NA	NA	NA	NA	NA	NA	1.8409	2.3295	2.7212
263	L	H	male	yes	9	yes	11	43	1	NA	NA	NA	NA	NA	NA	NA	1.7536	NA	2.6124
264	L	H	male	yes	8	yes	10	14	1	NA	NA	NA	NA	NA	NA	NA	1.8047	2.7371	2.8307
265	H	L	male	yes	7	yes	9	38	1	NA	NA	NA	NA	NA	NA	NA	3.6791	0.8433	4.4096
266	H	L	male	yes	7	yes	9	32	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
267	H	L	male	yes	8	yes	10	25	1	NA	NA	NA	NA	NA	NA	NA	2.2523	2.0378	3.1576
268	H	L	male	yes	7	yes	9	24	1	NA	NA	NA	NA	NA	NA	NA	3.1572	1.0488	3.8418
269	H	H	male	yes	7	yes	10	43	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
270	H	H	female	yes	8	yes	10	34	1	0	0	25	0	NA	NA	2.78820628	2.5443	1.1007	3.5033
271	H	H	female	yes	7	yes	9	35	1	0	0	25	0	NA	NA	2.655165313	3.3174	1.9387	4.1697
272	H	H	male	yes	7	yes	9	21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
273	L	L	male	yes	10	yes	11	36	1	NA	NA	NA	NA	NA	NA	NA	2.0561	1.2278	3.0169
274	L	L	female	yes	10	yes	12	39	1	0	0	0	0	NA	NA	2.508701833	2.904	1.5378	3.5502
275	L	L	female	yes	10	yes	12	30	1	30	0	0	NA	NA	NA	2.467490169	NA	NA	3.0555
276	L	L	female	yes	11	yes	13	55	0	29	24	0	0	0	0	2.543307306	1.9808	1.4437	2.8137
277	L	H	male	yes	8	yes	10	47	1	NA	NA	NA	NA	NA	NA	NA	1.8401	2.057	2.766
278	L	H	female	yes	11	yes	13	28	1	0	51	0	NA	NA	NA	2.518964665	2.1452	1.1019	3.0586
279	L	H	NA	no	NA	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.0426	0.9861	2.9285
280	L	H	male	yes	8	yes	10	25	1	NA	NA	NA	NA	NA	NA	NA	1.7689	1.9361	2.8611
281	H	L	male	yes	10	yes	12	15	1	NA	NA	NA	NA	NA	NA	NA	0.8977	1.8248	1.816
282	H	L	female	yes	7	yes	9	13	1	0	NA	NA	NA	NA	NA	NA	3.723	0.4189	4.3849
283	H	L	male	yes	7	yes	9	24	1	NA	NA	NA	NA	NA	NA	NA	3.9499	0.7694	4.6533
284	H	L	male	yes	7	yes	9	12	1	NA	NA	NA	NA	NA	NA	NA	2.6427	0.2125	3.6717
285	H	H	female	yes	7	yes	9	27	1	0	0	0	NA	NA	NA	2.70770984	3.4703	-0.1693	4.5529
286	H	H	female	yes	8	yes	10	57	1	0	48	0	33	52	0	2.785362647	3.275	0.2871	4.3087
287	H	H	female	yes	8	yes	10	56	1	0	0	0	0	22	37	2.636416989	NA	NA	NA
288	H	H	female	yes	7	yes	9	46	1	45	34	32	33	30	NA	2.673376967	4.0257	0.9732	5.1244
289	L	L	male	yes	10	yes	10	25	1	NA	NA	NA	NA	NA	NA	NA	2.8401	NA	3.8074
290	L	L	female	yes	10	yes	12	51	1	39	23	27	0	0	NA	2.371371711	1.9994	2.323	3.0222
291	L	L	female	yes	10	yes	13	46	1	0	0	33	0	0	NA	2.45740892	2.2377	2.2781	3.0328
292	L	L	male	yes	8	yes	10	26	1	NA	NA	NA	NA	NA	NA	NA	2.9456	0.171	3.8475
293	L	H	female	yes	9	yes	11	42	1	0	32	0	31	0	NA	1.987842515	2.9532	2.5441	3.689
294	L	H	male	yes	8	yes	10	23	1	NA	NA	NA	NA	NA	NA	NA	2.9445	-0.3702	3.935
295	L	H	female	yes	9	yes	11	33	1	42	0	23	0	NA	NA	1.854684968	2.5278	2.3068	3.2599
296	L	H	male	yes	8	yes	10	37	1	NA	NA	NA	NA	NA	NA	NA	1.9746	1.412	3.0297
297	H	L	male	yes	7	yes	9	26	1	NA	NA	NA	NA	NA	NA	NA	3.9103	-0.3491	4.7402
298	H	L	male	yes	7	yes	9	14	1	NA	NA	NA	NA	NA	NA	NA	3.0671	0.0984	3.9491
299	H	L	male	yes	7	yes	9	21	1	NA	NA	NA	NA	NA	NA	NA	3.3637	0.2492	4.2074
300	H	L	male	yes	7	yes	9	27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5777
301	H	H	female	yes	7	yes	9	33	1	0	33	0	NA	NA	NA	2.112870094	2.996	1.0538	4.0174
302	H	H	male	yes	7	yes	9	24	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.707
303	H	H	NA	yes	8	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.1475	2.7328	2.9832
304	H	H	female	yes	7	yes	9	26	1	0	31	0	NA	NA	NA	2.666340449	3.3974	1.6017	4.3192
305	L	L	female	yes	10	yes	12	24	1	NA	NA	NA	NA	NA	NA	2.2184774	2.3148	1.9501	3.2286
306	L	L	female	yes	10	yes	12	54	1	0	25	0	28	25	18	2.294133944	1.8798	2.2256	2.8631
307	L	L	female	yes	10	yes	12	41	1	0	0	0	0	0	NA	2.134766992	2.515	1.6717	3.1862
308	L	L	male	yes	9	yes	11	22	1	NA	NA	NA	NA	NA	NA	NA	2.355	2.2774	2.9789
309	L	H	male	yes	8	yes	10	28	1	NA	NA	NA	NA	NA	NA	NA	2.3256	1.8471	3.1372
310	L	H	male	yes	8	yes	10	23	1	NA	NA	NA	NA	NA	NA	NA	2.4262	1.76	3.2066
311	L	H	male	yes	8	yes	10	37	1	NA	NA	NA	NA	NA	NA	NA	2.1444	1.4873	2.9075
312	L	H	female	yes	9	yes	11	58	0	40	0	0	0	23	0	2.663162847	2.117	2.2232	2.7824
313	H	L	male	yes	7	yes	9	24	1	NA	NA	NA	NA	NA	NA	NA	3.4227	0.5902	4.3268
314	H	L	male	yes	7	yes	9	18	1	NA	NA	NA	NA	NA	NA	NA	2.5337	2.5011	3.2328
315	H	L	female	yes	7	yes	9	35	1	0	0	0	0	NA	NA	NA	NA	NA	NA
316	H	L	female	yes	8	yes	10	31	1	0	11	0	NA	NA	NA	2.521316304	2.6122	0.8908	3.5881
317	H	H	male	yes	7	yes	9	30	1	NA	NA	NA	NA	NA	NA	NA	2.8824	1.509	3.7702
318	H	H	male	yes	8	yes	10	38	1	NA	NA	NA	NA	NA	NA	NA	2.5766	1.7913	3.4136
319	H	H	male	yes	8	yes	10	39	1	NA	NA	NA	NA	NA	NA	NA	2.3469	2.229	3.1815
320	H	H	male	yes	7	yes	10	28	1	NA	NA	NA	NA	NA	NA	NA	2.1545	1.4385	3.0081
321	L	L	male	yes	10	yes	11	19	1	NA	NA	NA	NA	NA	NA	NA	2.1468	1.6431	3.2412
322	L	L	female	yes	10	yes	12	22	1	0	0	NA	NA	NA	NA	2.22493485	2.9407	1.3871	3.7844
323	L	L	female	yes	10	yes	13	41	1	0	0	0	0	0	NA	2.278744187	2.0623	1.3888	2.9901
324	L	L	female	yes	10	yes	12	12	1	0	0	0	NA	NA	NA	2.206538249	2.478	1.591	3.1944
325	L	H	male	yes	10	yes	12	30	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
326	L	H	female	yes	9	yes	11	15	1	0	5	NA	NA	NA	NA	2.490156574	1.9146	1.5788	2.7961
327	L	H	male	yes	8	yes	10	23	1	NA	NA	NA	NA	NA	NA	NA	3.1288	1.2484	4.0188
328	L	H	female	yes	9	yes	11	39	1	0	0	0	0	NA	NA	NA	NA	0	NA
329	H	L	male	yes	7	yes	9	38	1	NA	NA	NA	NA	NA	NA	NA	2.4586	1.5326	3.759
330	H	L	male	yes	7	yes	10	28	1	NA	NA	NA	NA	NA	NA	NA	2.8476	0.322	3.7759
331	H	L	female	yes	7	yes	10	25	1	0	0	0	NA	NA	NA	2.349666093	3.1182	0.1254	4.0964
332	H	L	female	yes	8	yes	10	41	1	0	0	0	13	NA	NA	2.426155805	NA	NA	NA
333	H	H	female	yes	8	yes	10	52	1	43	37	36	30	39	NA	2.43870116	NA	NA	NA
334	H	H	female	yes	8	yes	10	56	1	0	0	0	29	5	63	2.521078458	NA	NA	3.365
335	H	H	male	yes	7	yes	10	30	1	NA	NA	NA	NA	NA	NA	NA	2.4135	1.94	3.3141
336	H	H	male	yes	7	yes	9	51	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
337	L	L	female	yes	10	yes	12	14	1	0	0	NA	NA	NA	NA	2.484345166	3.3421	0.9238	4.2679
338	L	L	female	yes	9	yes	11	32	1	0	0	4	NA	NA	NA	2.528079593	1.5622	1.5901	2.3982
339	L	L	female	yes	10	yes	12	42	1	0	19	21	0	NA	NA	2.253066798	2.8633	0.1184	3.5662
340	L	L	female	yes	10	yes	12	31	1	41	0	0	NA	NA	NA	2.450762807	2.6875	1.1018	3.5829
341	L	H	female	yes	11	yes	13	56	0	0	0	1	0	0	20	2.839152723	2.2438	1.958	3.1777
342	L	H	female	yes	9	yes	11	56	1	0	36	28	0	0	3	2.596341735	2.8361	1.3347	3.2847
343	L	H	male	yes	8	yes	10	26	1	NA	NA	NA	NA	NA	NA	NA	2.1766	2.0427	2.8521
344	L	H	female	yes	9	yes	11	33	1	0	0	0	NA	NA	NA	2.463826825	1.9868	1.9009	2.9637
345	H	L	male	yes	7	yes	10	37	1	NA	NA	NA	NA	NA	NA	NA	2.668	1.5206	3.5882
346	H	L	male	yes	7	yes	9	27	1	NA	NA	NA	NA	NA	NA	NA	2.196	1.9189	3.1078
347	H	L	male	yes	7	yes	9	26	1	NA	NA	NA	NA	NA	NA	NA	3.9523	-0.3059	4.6158
348	H	L	male	yes	7	yes	9	18	1	NA	NA	NA	NA	NA	NA	NA	2.5518	1.4963	3.3925
349	H	H	NA	yes	7	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.3768	3.02	3.0942
350	H	H	female	yes	8	yes	11	28	1	63	37	15	NA	NA	NA	2.672555729	2.2846	1.8775	3.0586
351	H	H	NA	yes	7	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.3654	1.8884	3.2345
352	H	H	male	yes	7	yes	9	19	1	NA	NA	NA	NA	NA	NA	NA	3.5672	0.6314	4.2561
353	L	L	female	yes	10	yes	12	13	1	0	0	11	NA	NA	NA	2.338525675	2.0902	1.2911	2.9453
354	L	L	male	yes	10	yes	12	25	1	NA	NA	NA	NA	NA	NA	NA	2.4398	1.7851	3.0209
355	L	L	male	yes	9	yes	11	36	1	NA	NA	NA	NA	NA	NA	NA	2.3171	0.5392	3.2933
356	L	L	female	yes	11	yes	13	35	1	0	28	14	0	NA	NA	2.309927002	1.8371	0.1072	2.4939
357	L	H	female	yes	11	yes	13	21	1	0	0	0	NA	NA	NA	2.4280502	2.2293	1.0733	3.1399
358	L	H	male	yes	9	yes	11	51	1	NA	NA	NA	NA	NA	NA	NA	2.613	NA	3.0975
359	L	H	female	yes	9	yes	11	32	1	45	35	0	NA	NA	NA	2.308449245	NA	NA	NA
360	L	H	female	yes	8	yes	11	33	1	0	13	0	19	NA	NA	2.543253065	2.8134	1.4874	3.3419
361	H	L	male	yes	8	yes	10	57	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
362	H	L	male	yes	8	yes	10	26	1	NA	NA	NA	NA	NA	NA	NA	2.4465	1.7315	3.1858
363	H	L	male	yes	7	yes	9	39	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
364	H	L	female	yes	8	yes	10	31	1	0	0	0	NA	NA	NA	2.461814725	2.4839	1.7783	3.3231
365	H	H	male	yes	6	yes	9	18	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
366	H	H	female	yes	7	yes	7	17	1	41	0	NA	NA	NA	NA	2.673755068	2.4672	2.216	3.2281
367	H	H	female	yes	7	yes	9	36	1	0	0	22	38	0	NA	2.706893923	3.1415	1.5206	4.1095
368	H	H	male	yes	7	yes	9	38	1	NA	NA	NA	NA	NA	NA	NA	3.0117	1.5143	3.8718
369	L	L	female	yes	9	yes	11	58	0	36	0	14	0	0	0	2.115132816	2.3865	1.6465	2.9988
370	L	L	male	yes	10	yes	12	9	1	NA	NA	NA	NA	NA	NA	NA	1.8962	1.0866	2.9286
371	L	L	female	yes	10	yes	12	47	1	0	16	22	0	36	NA	2.398506735	2.1928	0.5774	2.8718
372	L	L	male	yes	8	yes	11	16	1	NA	NA	NA	NA	NA	NA	NA	2.3748	1.2064	3.2645
373	L	H	female	yes	9	yes	11	56	1	0	0	28	37	34	0	2.750381362	2.3924	2.3455	3.451
374	L	H	female	yes	10	yes	12	14	1	47	0	NA	NA	NA	NA	2.740085244	2.5646	2.4841	3.4095
375	L	H	male	yes	8	yes	10	38	1	NA	NA	NA	NA	NA	NA	NA	3.1016	1.0885	3.7955
376	L	H	female	yes	8	yes	11	27	1	61	0	0	NA	NA	NA	2.219693082	2.3088	3.1111	3.1542
377	H	L	male	yes	7	yes	9	18	1	NA	NA	NA	NA	NA	NA	NA	2.535	1.2035	3.8079
378	H	L	female	yes	8	yes	10	39	1	0	12	0	0	NA	NA	2.385742363	2.8116	1.7028	3.6311
379	H	L	male	yes	8	yes	10	59	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
380	H	L	female	yes	8	yes	10	39	1	0	0	0	0	NA	NA	2.449114581	3.7279	1.1417	4.6221
381	H	H	male	yes	7	yes	9	45	1	NA	NA	NA	NA	NA	NA	NA	3.1063	0.0555	4.2826
382	H	H	NA	yes	8	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.6718	1.9803	3.5471
383	H	H	male	yes	7	yes	9	26	1	NA	NA	NA	NA	NA	NA	NA	3.0022	0.7503	3.8198
384	H	H	female	yes	8	yes	10	18	1	35	28	NA	NA	NA	NA	2.522552681	3.3527	1.4895	4.2783
