Animal,Sire,Dam,Bucket,Wing_Morph,Food,State_DLM,DLM_Mass,Ovary_Mass,Remaining_Mass,Total_Mass
837,21,2,A,L,Low,1,4,2.3,127.4,133.7
838,21,2,A,S,Med,0,0,61.2,107.4,168.6
839,21,2,A,L,AD,1,5.5,39.9,166.3,211.7
840,21,2,A,L,Low,1,0.7,32.9,105.5,139.1
841,21,2,A,L,Med,2,3.9,4.2,149.2,157.3
842,21,2,A,S,AD,0,0,116.4,100.9,217.3
843,21,2,A,L,Low,2,5.2,6.6,138.8,150.6
844,21,2,A,L,Med,2,6.3,6.1,194.9,207.3
845,21,2,A,L,AD,2,7.5,58.6,246.5,312.6
846,21,2,A,L,Low,2,5.9,2.2,159,167.1
847,21,2,A,L,Med,2,6.1,13.3,168.4,187.8
848,21,2,A,L,AD,2,8.2,46.8,203.2,258.2
849,21,2,A,L,Low,1,4.7,2.6,163.6,170.9
850,21,2,A,L,Med,2,6.4,13.9,184.3,204.6
851,21,2,A,S,AD,0,0,112.4,118.7,231.1
852,21,2,B,L,Low,1,1.4,46,124,171.4
853,21,2,B,L,Med,1,4,11.1,172.9,188
854,21,2,B,L,AD,2,3.4,59.7,171.1,234.2
855,21,2,B,L,Low,1,0.8,27.4,99.5,127.7
856,21,2,B,L,Med,2,4.9,13.6,132.5,151
857,21,2,B,S,AD,0,0,115.1,117.7,232.8
858,21,2,B,L,Low,1,3.9,1.7,124.6,130.2
859,21,2,B,L,Med,2,3.6,21.1,128.9,153.6
860,21,2,B,L,AD,2,6.3,66,194.4,266.7
861,21,2,B,L,Low,2,6.8,7.7,162.1,176.6
862,21,2,B,L,Med,2,3,30.8,107.1,140.9
863,21,2,B,L,AD,2,3.1,113.9,187.1,304.1
864,21,2,B,L,Low,1,5.6,2.6,171.1,179.3
865,21,2,B,L,Med,1,1.7,65.9,117.7,185.3
866,21,2,B,L,AD,1,5.1,56.2,260.3,321.6
867,21,3,A,L,Low,1,5.8,7.3,154.5,167.6
868,21,3,A,L,Med,2,4.1,17.5,151.5,173.1
869,21,3,A,L,AD,2,5.3,35.6,158.8,199.7
