species;M_mor;F_mor;F_bias;M_mass;F_mass;prod;prod_F;log_prod_F;mat_sys_bias;sex_dim;prehatch_bias;posthatch_bias;mean_bias;cavity_nest
Fratercula_arctica;0.04;0.04;0;391;361;63.97348355;0.177211866;-0.751507202;0;0.034669555;0;0;0;1
Fringilla_montifringilla;0.53;0.57;0.16170684;22.6;22.7;12.64736347;0.557152576;-0.254025857;0;-0.001917418;1;0.5;0.75;0
Fulica_atra;0.41;0.41;0;835;715;424.6195639;0.593873516;-0.226306042;0;0.067380434;0;0;0;0
Fulmarus_glacialis;0.03;0.03;0;884;706;101.1579454;0.143283209;-0.843804701;0;0.097647564;0;0;0;0
Grus_canadensis;0.126;0.142;0.138021427;4800;4110;328.0952931;0.079828538;-1.097841822;0;0.067399415;0.25;0.1666665;0.20833325;0
Haematopus_ostralegus;0.098;0.098;0;500;536;146.8926278;0.27405341;-0.56216479;2;-0.030194785;0.1666665;0;0.08333325;0
Haliaeetus_leucocephalus;0.107;0.107;0;4130;5350;233.8837239;0.043716584;-1.359353782;0;-0.11240373;0.25;0;0.125;0
Hirundo_rustica;0.657;0.662;0.022266089;18.8;19.4;16.98243652;0.875383326;-0.05780173;1;-0.013643881;0.5;0.1666665;0.33333325;0
Histrionicus_histrionicus;0.18;0.26;0.470378934;653;553;313.3285724;0.56659778;-0.246725131;0;0.07218805;1;1;1;0
Icterus_parisorum;0.395;0.694;1.245229552;36.3;35.1;19.498446;0.555511282;-0.255307116;0;0.014599509;0.6666665;0.3333335;0.5;0
Lagopus_lagopus;0.475;0.558;0.333132539;635;555;206.0629913;0.371284669;-0.430292983;3;0.058480742;0.5;0.75;0.625;0
Lagopus_leucura;0.12;0.36;1.41706602;359;351;111.1731727;0.316732686;-0.499307116;3;0.009787332;0.8333335;0.75;0.79166675;0
Larus_argentatus;0.073;0.073;0;977;813;224.3881924;0.276000237;-0.559090546;1;0.079804018;0.1666665;0;0.08333325;0
Larus_californicus;0.14;0.14;0;841;710;219.2804935;0.308845766;-0.510258349;0;0.073537647;0;0;0;0
Larus_canus;0.11;0.11;0;413;360;160.3245391;0.445345942;-0.351302501;1;0.059647551;0.25;0;0.125;0
Larus_glaucescens;0.15;0.15;0;1180;946.1;239.8832919;0.253549616;-0.595937042;0;0.095944965;0;0;0;0
Larus_novaehollandiae;0.16;0.11;-0.43251302;313;264;177.827941;0.673590686;-0.171603927;0;0.073940411;0;0;0;0
Larus_occidentalis;0.16;0.19;0.208217901;973;799.8;291.0717118;0.363930622;-0.4389814;0;0.08513144;0.1666665;0;0.08333325;0
Larus_ridibundus;0.1;0.1;0;294;267;64.86344335;0.242934245;-0.614511261;0;0.041836069;0;0;0;0
Limosa_limosa;0.22;0.31;0.465547073;264;315;155.9552503;0.495096033;-0.305310554;0;-0.076706627;0;-0.25;-0.125;0
Megadyptes_antipodes;0.126;0.143;0.14620518;8500;7500;275.4228703;0.036723049;-1.435061263;0;0.054357662;0;0;0;0
Melanerpes_formicivorus;0.176;0.288;0.638569104;80.9;77.2;59.97910763;0.776931446;-0.1096173;-1;0.020331221;-0.1666665;0.1666665;0;1
Meleagris_gallopavo;0.451;0.337;-0.480060958;7400;4222;870.96359;0.206291708;-0.685518229;4;0.243713491;1;1;1;0
Morus_bassanus;0.08;0.05;-0.502091944;2932;3067;104.4720219;0.034063261;-1.467713776;0;-0.01954981;-0.25;0;-0.125;0
Motacilla_alba;0.469;0.527;0.232264413;21.6;19.9;28.18382931;1.41627283;0.151146924;0;0.035600675;0.5;0.3333335;0.41666675;0
Numenius_americanus;0.33;0.27;-0.286437517;640.1;758.6;291.7427014;0.384580413;-0.415012838;0;-0.073765011;0;-0.25;-0.125;0
Numenius_arquata;0.141;0.225;0.570246404;662;788;307.6096815;0.390367616;-0.408526217;0;-0.075668228;0;-0.5;-0.25;0
Oenanthe_oenanthe;0.5;0.58;0.322773392;24.1;23.8;28.24879975;1.186924359;0.074423043;2;0.005440086;1;0.3333335;0.66666675;0
Otis_tarda;0.133;0.075;-0.637615775;11975;3816;357.2728382;0.093624958;-1.028608366;4;0.496667156;1;1;1;0
Pagodroma_nivea;0.047;0.047;0;341;293;46.98941086;0.160373416;-0.79486762;0;0.065886759;0;0;0;0
Parus_atricapillus;0.398;0.428;0.123789644;13.5;12.4;8.035261222;0.648004937;-0.188421685;0;0.036912083;1;0.1666665;0.58333325;1
Parus_cinctus;0.31;0.31;0;12.9;11.2;14.42115352;1.287602992;0.109781977;0;0.061371688;1;0.5;0.75;1
Parus_cristatus;0.31;0.41;0.436153923;11.4;10.7;12.24616199;1.144501121;0.058616222;0;0.027521074;1;0.5;0.75;1
Parus_major;0.446;0.497;0.204845591;19.1;17.9;19.498446;1.089298659;0.037146969;1;0.028180336;1;0.3333335;0.66666675;1
Parus_montanus;0.361;0.496;0.555026155;12.1;11.2;9.099132726;0.812422565;-0.090218023;0;0.033567348;0.75;0.5;0.625;1
Passer_domesticus;0.39;0.39;0;30.2;30.2;27.03958364;0.895350452;-0.048006943;3;0;0.1666665;0;0.08333325;1
Passer_montanus;0.5;0.58;0.322773392;22.6;21.6;19.72422736;0.913158674;-0.039453751;1;0.019654688;0.25;0.1666665;0.20833325;1
Passerina_cyanea;0.44;0.6;0.646627165;15;14.4;13.03166778;0.904976929;-0.043362492;0;0.017728767;1;0.5;0.75;0
Petronia_petronia;0.46;0.53;0.280486962;33.7;32.1;30.13006024;0.93863116;-0.027505032;1;0.021124868;1;0.25;0.625;1
Phalacrocorax_aristotelis;0.109;0.184;0.611517948;1948;1598;120.2264435;0.075235572;-1.123576775;2;0.086012178;0;0;0;0
Phalacrocorax_carbo;0.121;0.121;0;2400;2000;183.6538343;0.091826917;-1.037029996;0;0.079181246;0;0;0;0
Phalacrocorax_penicillatus;0.228;0.289;0.319393179;2570;1930;176.6037821;0.09150455;-1.038557309;0;0.124375814;0;0;0;0
Phasianus_colchicus;0.64;0.85;1.15923691;1186;989;311.8889584;0.315357895;-0.501196292;4;0.078888397;1;0.75;0.875;0
Pheucticus_ludovicianus;0.551;0.471;-0.320842259;43.6;45.6;31.55004623;0.691886979;-0.159964843;0;-0.019478353;0;0;0;0
Philomachus_pugnax;0.6;0.73;0.589157467;199;118;84.13951416;0.71304673;-0.146882007;4;0.226971069;1;0.8333335;0.91666675;0
Phoenicopterus_ruber;0.037;0.016;-0.859901676;3579;2525;213.3044913;0.084477026;-1.073261382;0;0.151500316;0;0;0;0
Phylloscopus_trochilus;0.635;0.635;0;8.9;8.8;10.18591388;1.157490214;0.063517328;3;0.004907334;0.6666665;0.3333335;0.5;0
Pica_pica;0.25;0.4;0.693147181;236;220;52.36004366;0.238000198;-0.623422681;0;0.030489322;0.5;0.1666665;0.33333325;0
Polysticta_stelleri;0.235;0.101;-1.005872198;773;842;381.0658234;0.452572237;-0.344312091;0;-0.037132598;1;1;1;0
Protonotaria_citrea;0.47;0.53;0.240288624;14.3;15.5;15.27566058;0.985526489;-0.006331698;2;-0.034995661;0.3333335;0.5;0.41666675;1
Prunella_modularis;0.49;0.57;0.321856487;21.4;21.1;26.0615355;1.235143863;0.091717545;0;0.006131318;1;0.3333335;0.66666675;0
Puffinus_puffinus;0.128;0.097;-0.312252415;537;506;57.94286964;0.1145116;-0.941150517;0;0.025823769;0;0.3333335;0.16666675;1
Puffinus_tenuirostris;0.122;0.122;0;560;528;81.84647881;0.15501227;-0.809633923;0;0.025554104;0;0.5;0.25;1
Pyrocephalus_rubinus;0.352;0.447;0.397460114;12.4;13.4;7.888601176;0.58870158;-0.230104798;0;-0.033683113;1;0.25;0.625;0
Pyrrhocorax_graculus;0.125;0.125;0;248.2;212.5;59.84115951;0.281605456;-0.550358934;1;0.067442843;0.5;0.5;0.5;0
Pyrrhula_pyrrhula;0.565;0.595;0.123194638;30.9;31.2;16.18080038;0.518615397;-0.285154594;0;-0.004196115;1;0.3333335;0.66666675;0
Quiscalus_major;0.14;0.308;1.005803794;206.5;111.2;55.4625713;0.49876413;-0.302104787;4;0.268815269;0.6666665;0.6666665;0.6666665;0
Quiscalus_quiscula;0.393;0.448;0.225964365;119.6;92.2;41.39996748;0.449023508;-0.347730921;3;0.113000259;0.75;0.5;0.625;0
Regulus_regulus;0.64;0.76;0.577315365;5.9;5.7;15.31087462;2.686118354;0.429125144;0;0.014977156;0.25;0.5;0.375;0
Riparia_riparia;0.532;0.62;0.361373032;12.7;13.6;12.1338885;0.892197684;-0.049538908;-1;-0.029735187;0;0;0;1
Rissa_tridactyla;0.195;0.195;0;443;393;103.5142167;0.263394953;-0.57939255;0;0.052011176;0;0;0;0
Saxicola_rubetra;0.52;0.79;1.244882707;16.5;16.7;16.33051948;0.977875418;-0.009716471;0;-0.005232527;1;0.3333335;0.66666675;0
Sayornis_nigricans;0.326;0.251;-0.366953315;19;17.5;10.56817509;0.60389572;-0.219038049;1;0.035715552;0.3333335;0.5;0.41666675;0
Scolopax_minor;0.657;0.478;-0.738010427;168.4;210.5;71.61434102;0.340210646;-0.4682521;4;-0.096910013;1;1;1;0
Seiurus_aurocapilla;0.4;0.79;1.730390523;22.5;21.7;11.58777356;0.533998782;-0.272459734;0;0.015722784;0.6666665;0.3333335;0.5;0
Selasphorus_platycercus;0.73;0.3;-1.841920436;3.2;3.7;1.678804018;0.453730816;-0.343201724;4;-0.063051746;1;1;1;0
Setophaga_ruticilla;0.45;0.45;0;8.6;8.7;5.321082593;0.611618689;-0.213519253;3;-0.005020801;0.8333335;0.5;0.66666675;0
Sialia_mexicana;0.37;0.52;0.612259521;25.8;27.1;29.37649652;1.084003562;0.035030709;0;-0.021349585;0.6666665;0.3333335;0.5;1
Sitta_europaea;0.49;0.56;0.281167391;24.3;23.5;15.27566058;0.65002811;-0.187067862;0;0.014538411;0.75;0.3333335;0.54166675;1
Sitta_pygmaea;0.36;0.51;0.61536948;10.3;10.5;8.072350302;0.768795267;-0.114189299;0;-0.008352074;0.5;0.5;0.5;1
Somateria_mollissima;0.06;0.06;0;2218;1915;538.2697825;0.281080826;-0.551168778;1;0.063792764;1;1;1;0
Spizella_pusilla;0.47;0.64;0.695508457;13.2;13;18.15515663;1.39655051;0.145056648;1;0.006630579;0.8333335;0.3333335;0.5833335;0
Stercorarius_parasiticus;0.186;0.212;0.163301877;361;408;98.1747943;0.240624496;-0.618660163;0;-0.053152961;0.25;0.3333335;0.29166675;0
